epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
55;2744.87;1.23609;0.95512;0.99901;0.52829;0.51185;0.48876;0.29126;1.65461;1.35504;1.75723;0.000301561;0.000301561;0.000301561
56;2791.18;1.27792;0.96556;1.00242;0.52975;0.49168;0.48842;0.29368;1.48349;1.25722;ÿםג.88;0.000290312;0.000290312;0.000290312
57;2844.99;1.23098;0.9222;0.9931;0.50294;0.50476;0.48156;0.29894;1.47957;1.23417;1.64356;0.000279063;0.000279063;0.000279063
58;2891.99;1.23969;0.92798;0.99219;0.5775;0.47175;0.48441;0.29439;1.51017;1.39034;1.63655;0.000267814;0.000267814;0.000267814
59;2938.83;1.24558;0.93705;0.98377;0.73971;0.44887;0.477;0.29482;1.48987;1.35977;ÿםג.64;0.000256565;0.000256565;0.000256565
60;2986.75;1.24049;0.9629;0.98697;0.77897;0.46989;0.48015;0.27868;1.50122;1.37125;1.68396;0.000245316;0.000245316;0.000245316
61;3034.15;1.22021;0.92025;0.99345;0.79239;0.40841;0.45505;0.27538;ÿםג.46;1.33949;1.63108;0.000234068;0.000234068;0.000234068
62;3079.71;1.21245;0.90541;0.98886;0.52253;0.4754;0.47274;0.28622;1.59323;1.43034;1.64434;0.000222819;0.000222819;0.000222819
63;3130.27;1.20883;0.90282;0.98079;0.5252;0.47445;0.48092;0.29442;1.58186;1.34497;1.71155;0.00021157;0.00021157;0.00021157
64;3177.06;1.18911;0.89824;0.98264;0.48223;0.45937;0.4695;0.29134;1.56047;1.44503;1.63023;0.000200321;0.000200321;0.000200321
65;3224.65;1.21546;0.89743;0.98456;0.55012;0.47465;0.48128;0.30205;1.59353;ÿםג.81;1.67869;0.000189072;0.000189072;0.000189072
66;3274.08;1.18766;0.88214;0.98082;0.52517;0.48954;0.47615;0.28298;1.59864;1.36273;1.76218;0.000177823;0.000177823;0.000177823
67;3320.38;1.17215;0.85835;0.96393;0.58615;0.4753;0.48796;0.29074;1.57223;1.36854;1.65678;0.000166574;0.000166574;0.000166574
68;3371.14;1.15385;0.86016;0.96186;0.78395;0.44527;0.4728;0.2811;1.51239;1.49017;1.58493;0.000155325;0.000155325;0.000155325
69;3417.42;1.17626;0.87722;0.97072;0.53501;0.46398;0.48606;0.28962;1.56466;1.38418;1.69174;0.000144077;0.000144077;0.000144077
